Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-13558.1	-13507.5	-50.6383	0.301878	0.338433	0.11226	0.33276	0.234353	0.147827	0.364458	0.291864	0.247765	0.253301	0.165915	0.313828	0.316542	0.227629	0.167818	0.211936	0.192296	0.241342	0.509258	0.189365	0.154747	0.204504	0.172902	0.106012	0.0426412	0.353728	0.0473991	0.155526	0.0199816	0.0368976	0.000171993	0.180458	0.0312382	0.0253041	0.00289822	0.00349146	0.026653	0.034528	0.0367733	0.226729	0.0328457	0.0523472	0.0108498	0.0213482	0.0638787	0.180513	0.0645033	0.0125429	0.655255	0.0233062	0.00544889	0.105957	0.598943	3.28965	0.292922	0.352699	0.122066	0.232313	6.83893
110	-13549.8	-13489.7	-60.1425	0.289774	0.351212	0.153752	0.36402	0.226439	0.193659	0.45762	0.332981	0.264646	0.292053	0.228293	0.289765	0.346653	0.287701	0.143879	0.158426	0.216268	0.282075	0.60285	0.20167	0.208545	0.293421	0.141471	0.166963	0.100115	0.380178	0.0880334	0.165548	0.00485518	0.0488455	0.000358888	0.110028	0.0177778	0.00444941	0.00188376	0.009325	0.0234406	0.0137663	0.0520773	0.435603	0.019963	0.056042	0.00352916	0.0492252	0.0640785	0.181078	0.064705	0.0094553	0.657304	0.023379	0.00450256	0.0965676	0.578224	3.32071	0.303979	0.353028	0.110462	0.23253	7.78941
120	-13507.7	-13449.9	-57.7527	0.322433	0.36933	0.150109	0.335958	0.270725	0.216921	0.404886	0.264935	0.264646	0.248148	0.268759	0.305501	0.361151	0.277535	0.184459	0.144575	0.245958	0.292094	0.448478	0.165732	0.180696	0.281557	0.201532	0.199004	0.0683638	0.31825	0.0864712	0.173331	0.0121487	0.0558195	0.000500504	0.13814	0.0159432	0.00646925	0.00555209	0.0383517	0.046416	0.0325633	0.0318864	0.240782	0.0837991	0.0710728	0.00729159	0.0344196	0.0535443	0.180762	0.0707456	0.0154502	0.656159	0.0233383	0.00729049	0.122021	0.631623	3.23907	0.303979	0.353028	0.110462	0.23253	7.55026
130	-13366.3	-13317.8	-48.5032	0.296221	0.312712	0.139897	0.263623	0.2362	0.149742	0.458944	0.308498	0.244868	0.225642	0.289316	0.27861	0.267552	0.207964	0.146723	0.14535	0.198674	0.319291	0.20443	0.165923	0.179642	0.274997	0.145822	0.131052	0.0986371	0.247916	0.0307481	0.179208	0.0309073	0.0515158	0.00364661	0.161615	0.041791	0.00411788	0.0308029	0.028363	0.038722	0.0372331	0.0205759	0.105252	0.067556	0.0711014	0.0154683	0.0647984	0.0508169	0.223643	0.0612444	0.0178782	0.622736	0.0236814	0.00499375	0.101558	0.589401	3.30405	0.303979	0.353028	0.110462	0.23253	6.62545
140	-13282.6	-13238	-44.5363	0.303513	0.303752	0.0792543	0.32825	0.184095	0.149616	0.404168	0.220138	0.227029	0.216298	0.220115	0.249577	0.267552	0.20379	0.122049	0.173579	0.166997	0.259591	0.1083	0.185316	0.180218	0.256355	0.141018	0.0929284	0.0929822	0.205819	0.0448024	0.178892	0.0600019	0.0643061	0.00466651	0.178575	0.238969	0.0175567	0.0729211	0.0696134	0.0298897	0.0533836	0.0157926	0.031366	0.0131843	0.0610299	0.0215711	0.0334095	0.0473165	0.178677	0.077167	0.0140825	0.65481	0.0279471	0.00558462	0.107231	0.601656	3.28553	0.312287	0.362677	0.113481	0.211555	6.22872
150	-13248	-13204.6	-43.4142	0.309353	0.343144	0.0859682	0.323623	0.213318	0.116701	0.386979	0.183066	0.220286	0.24449	0.215194	0.195292	0.190389	0.208282	0.166506	0.139411	0.185386	0.270305	0.117429	0.176634	0.159545	0.256716	0.130038	0.128354	0.0978841	0.133095	0.0345838	0.163467	0.0466576	0.0443663	0.0128223	0.129791	0.213988	0.0534685	0.22081	0.019447	0.0198956	0.0183765	0.0695589	0.031366	0.0532988	0.0534008	0.00782484	0.0353198	0.051712	0.195275	0.0592573	0.00947222	0.661582	0.0227011	0.00608467	0.111788	0.611181	3.27095	0.351565	0.330493	0.111004	0.206938	6.11648
160	-13240	-13195.3	-44.6331	0.309353	0.30086	0.104305	0.306288	0.255519	0.141339	0.45354	0.240583	0.265911	0.241384	0.25015	0.280011	0.198756	0.175325	0.129821	0.209769	0.176996	0.259448	0.131849	0.142223	0.116679	0.214694	0.106838	0.0744348	0.0570376	0.195072	0.0544531	0.183763	0.0385774	0.0551997	0.0209296	0.124064	0.141778	0.0635779	0.246623	0.0322173	0.0434493	0.00723584	0.0574164	0.0272315	0.0724429	0.0114495	0.00681358	0.0223109	0.0461203	0.192427	0.0583691	0.0177841	0.651666	0.0336333	0.00608467	0.111788	0.611181	3.27095	0.354601	0.329923	0.108897	0.20658	6.23837
170	-13223.2	-13180.7	-42.5216	0.272058	0.347987	0.123204	0.264054	0.282553	0.0968444	0.400294	0.160809	0.283028	0.180318	0.194536	0.232294	0.180287	0.151772	0.142348	0.153303	0.178563	0.259448	0.150845	0.151995	0.120388	0.24016	0.13793	0.104826	0.0842762	0.162816	0.0267898	0.121407	0.0227603	0.0921112	0.043117	0.125178	0.117291	0.0357348	0.267976	0.029022	0.0343003	0.0175983	0.0837097	0.05191	0.107684	0.0189174	0.0189256	0.0280925	0.0407433	0.193837	0.0587967	0.0172855	0.65644	0.0328981	0.00330286	0.0830201	0.545754	3.36792	0.35701	0.332164	0.102842	0.207984	6.0274
180	-13210.6	-13164.4	-46.2037	0.275933	0.326941	0.100367	0.301142	0.29554	0.0985168	0.417602	0.217597	0.313806	0.181556	0.263079	0.236523	0.183056	0.240463	0.11863	0.139501	0.195783	0.25937	0.109078	0.184482	0.143758	0.246169	0.142228	0.0862682	0.0860666	0.185586	0.0649886	0.140449	0.0254575	0.0528092	0.0576133	0.137003	0.242079	0.01983	0.206277	0.0263909	0.0522833	0.0238654	0.0771459	0.0498522	0.0480996	0.0389386	0.0173304	0.042071	0.0409508	0.194824	0.0633394	0.00918274	0.659784	0.0319189	0.00354652	0.0859573	0.553082	3.35741	0.354125	0.32948	0.110092	0.206303	6.39559
190	-13197	-13144.6	-52.3924	0.301761	0.383674	0.067723	0.346962	0.357769	0.0986117	0.435917	0.226836	0.289378	0.258267	0.230361	0.236149	0.226027	0.251487	0.163978	0.163778	0.192309	0.362018	0.113237	0.212505	0.149229	0.237279	0.18308	0.111998	0.118726	0.255161	0.0707889	0.162936	0.0376377	0.0434067	0.0827253	0.143188	0.150571	0.0259453	0.275852	0.0285835	0.0303881	0.0164946	0.0720117	0.0213685	0.0552668	0.0547387	0.0259426	0.044028	0.0409878	0.195	0.0633965	0.00943336	0.660379	0.0308041	0.00543928	0.105866	0.598749	3.28995	0.349581	0.338084	0.10868	0.203655	7.01433
