Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20446.7	-20424.1	-22.6099	0.0550709	0.018467	0.260309	0.0514356	0.14517	0.0047558	0.01179	0.0456059	0.128824	0.0187113	0.221136	0.28207	0.116428	0.00775292	0.178391	0.0559799	0.0632069	0.0854194	0.0528254	0.0688109	0.00870731	0.0299391	0.135976	0.045441	0.106908	0.00717744	0.131722	0.135277	0.0568035	0.0124287	0.0729921	0.0740617	0.13104	0.00486458	0.102846	0.0621533	0.168852	0.182416	0.00302575	0.038762	0.0970823	0.17864	0.019973	3.67925
10	-18069.2	-18049	-20.2734	0.194217	0.0788456	0.134003	0.0551232	0.13788	0.0234458	0.0358167	0.0593491	0.149141	0.0484777	0.178171	0.221488	0.10766	0.0297232	0.156665	0.0778843	0.161033	0.114122	0.0902381	0.10566	0.0214504	0.0663683	0.13154	0.165855	0.0420842	0.01298	0.10306	0.0241349	0.0238614	0.0151315	0.0504612	0.044021	0.0693366	0.00428674	0.0234545	0.0849422	0.0662608	0.0972377	0.00110563	0.0114607	0.0610892	0.0794747	0.0870481	3.44559
20	-17389.8	-17366.9	-22.8504	0.0850624	0.110078	0.122949	0.134573	0.0546375	0.141155	0.0670437	0.160417	0.135647	0.170377	0.174094	0.130159	0.116758	0.098505	0.106134	0.152732	0.189866	0.119568	0.105769	0.156922	0.116996	0.127004	0.12316	0.10161	0.0206687	0.0204201	0.0679621	0.0204698	0.0225471	0.0349141	0.0579723	0.0366064	0.0380855	0.00516107	0.0438777	0.0615694	0.019939	0.127191	0.00391295	0.0105049	0.039437	0.0129107	0.057923	3.70329
30	-17231.4	-17209.4	-21.9438	0.087575	0.173453	0.159555	0.151513	0.0690232	0.191804	0.106371	0.182993	0.121153	0.167158	0.145392	0.101564	0.125883	0.0825271	0.104839	0.129247	0.123891	0.118038	0.13668	0.129636	0.124565	0.111543	0.115204	0.102384	0.0143069	0.0126355	0.0415448	0.0385534	0.0131109	0.0229075	0.0456327	0.0250004	0.0203892	0.00241048	0.0341776	0.0424829	0.0693832	0.0703729	0.00444385	0.0075825	0.0195258	0.0184066	0.0477784	3.61264
40	-16893.3	-16871.6	-21.6101	0.081243	0.173453	0.161702	0.178638	0.07255	0.173178	0.13763	0.158952	0.118878	0.147402	0.111098	0.126305	0.125883	0.096286	0.10144	0.174364	0.0935815	0.0976809	0.0889446	0.162327	0.13124	0.111543	0.166858	0.0590599	0.0104461	0.034773	0.0252919	0.0439453	0.0134541	0.0169842	0.0122481	0.0110551	0.0584945	0.00126928	0.0204675	0.0436543	0.0741521	0.0570204	0.00513818	0.00574697	0.0165006	0.010415	0.0679642	3.57926
50	-16707.3	-16687.4	-19.8506	0.0736166	0.18269	0.149891	0.116234	0.071624	0.173178	0.145108	0.163653	0.163852	0.131216	0.0827548	0.102957	0.112272	0.0872717	0.0984002	0.111061	0.116352	0.080878	0.0940641	0.162327	0.104285	0.113097	0.117259	0.0640486	0.0321997	0.0443783	0.0463656	0.0433424	0.0114674	0.0336567	0.00759234	0.0157081	0.0338219	0.00167634	0.0324098	0.0207398	0.0958427	0.0614706	0.00994566	0.00502073	0.0214309	0.0435478	0.0246036	3.40331
60	-16437	-16418.4	-18.5589	0.0792658	0.189242	0.112834	0.0850223	0.0858851	0.162984	0.114209	0.175361	0.164722	0.138403	0.0672331	0.126413	0.107665	0.0910865	0.0856877	0.11361	0.0871361	0.0983457	0.100386	0.162605	0.100715	0.094638	0.136645	0.0453333	0.0348068	0.0347205	0.0215775	0.0526771	0.0133784	0.0260129	0.00229259	0.0150958	0.0263004	0.00683741	0.032062	0.0210047	0.0604354	0.0637056	0.0249486	0.00654943	0.0107928	0.0435886	0.0519267	3.27414
70	-16343.9	-16325	-18.9056	0.0625997	0.189242	0.115066	0.103652	0.084606	0.166974	0.116843	0.189907	0.109641	0.142554	0.0713785	0.108741	0.101644	0.0841165	0.0804892	0.119203	0.0748466	0.0851639	0.111866	0.159553	0.106456	0.0835031	0.130646	0.0434151	0.0228803	0.022896	0.0207135	0.05256	0.0257345	0.0290247	0.0010904	0.021741	0.0142086	0.0398835	0.0511279	0.0185566	0.0630871	0.0622246	0.0454153	0.0473458	0.0118368	0.0612219	0.0551622	3.30882
80	-16314.2	-16295.8	-18.4498	0.0766325	0.187436	0.0826197	0.0998054	0.0639852	0.141958	0.11082	0.197789	0.119585	0.124629	0.0702269	0.109156	0.118387	0.0893637	0.0972453	0.126669	0.0480752	0.0794288	0.101148	0.159553	0.124206	0.0933711	0.138583	0.0294953	0.0133052	0.0201684	0.0113276	0.0539601	0.00955425	0.0173722	0.00199437	0.03557	0.0238979	0.0727131	0.0523235	0.0154915	0.0516512	0.0640569	0.0729672	0.0354884	0.0169931	0.0536958	0.0505307	3.26323
90	-16219.6	-16201.8	-17.8208	0.0843385	0.130248	0.0634627	0.10751	0.0646678	0.155994	0.122066	0.163486	0.108067	0.135632	0.0815926	0.121439	0.0982836	0.0628591	0.0976388	0.129639	0.0745493	0.0863628	0.098684	0.163472	0.114431	0.0924199	0.144143	0.0377225	0.0182724	0.0201171	0.0236167	0.0678978	0.0136468	0.0318306	0.00305968	0.0231505	0.0390533	0.0621849	0.057144	0.019299	0.0483732	0.0475144	0.0807589	0.0104109	0.0447502	0.0257669	0.0247805	3.20034
100	-15992.1	-15974.8	-17.2867	0.0926383	0.164365	0.106346	0.10751	0.0748814	0.0804759	0.14142	0.114652	0.119783	0.0985528	0.0769533	0.120141	0.0837994	0.0874898	0.0955242	0.131747	0.0559208	0.0913791	0.101293	0.1728	0.129642	0.0924199	0.144143	0.0309191	0.0287957	0.034167	0.019684	0.0385822	0.0097881	0.0252778	0.00675691	0.0279226	0.0451776	0.0410019	0.0398505	0.0334789	0.0274461	0.0719619	0.0705778	0.0166831	0.0360131	0.0421674	0.0167984	3.14693
110	-15865.8	-15849.6	-16.163	0.0725823	0.122007	0.0800773	0.122732	0.0780187	0.0910978	0.135549	0.147698	0.0908445	0.106177	0.0793455	0.114119	0.095716	0.0821782	0.0900546	0.127163	0.063064	0.0937763	0.0855717	0.12773	0.11933	0.106413	0.144806	0.0245194	0.0181157	0.013312	0.0193005	0.0328628	0.0200173	0.0162064	0.0111215	0.00994287	0.0345729	0.0565974	0.0392651	0.0303413	0.0490731	0.057954	0.0705778	0.0585711	0.0378389	0.0268084	0.031503	3.03455
120	-15858.1	-15841.1	-16.9887	0.0760705	0.118626	0.0800773	0.0999223	0.0777891	0.0821542	0.147982	0.14977	0.095099	0.102623	0.0675187	0.0927264	0.096927	0.0921957	0.0791959	0.122204	0.0668904	0.0957699	0.0728403	0.149111	0.10134	0.104109	0.149445	0.0280653	0.0189772	0.0303756	0.0160294	0.0572162	0.0477447	0.022359	0.00613234	0.0113042	0.0314273	0.0573958	0.0387932	0.0310326	0.0799136	0.063927	0.0439674	0.0668947	0.0267182	0.0511907	0.0672708	3.11712
130	-15859.2	-15841.9	-17.3498	0.0961634	0.149259	0.078719	0.103354	0.0777891	0.10569	0.110007	0.134224	0.128957	0.125235	0.0812721	0.0685432	0.0929735	0.0956437	0.105491	0.0895197	0.0556578	0.0758288	0.0913256	0.156098	0.123182	0.101612	0.154887	0.0193451	0.0153292	0.0265317	0.0292317	0.0474781	0.0355604	0.0307031	0.00572395	0.0190883	0.0338429	0.0578714	0.042367	0.0311624	0.0596498	0.0470899	0.0817513	0.0665183	0.0153047	0.0314617	0.0557915	3.15323
140	-15847.8	-15830.9	-16.8998	0.0771992	0.135715	0.103203	0.112966	0.0682302	0.0793851	0.141919	0.145114	0.114125	0.0972252	0.0812721	0.088838	0.0897844	0.0844604	0.0753946	0.118574	0.0589542	0.100272	0.104436	0.131302	0.105992	0.0938659	0.134328	0.0363365	0.00646967	0.0216361	0.0339526	0.051071	0.0314593	0.0284897	0.00283608	0.0141811	0.0466593	0.0625921	0.0566973	0.0221856	0.0629403	0.0545624	0.0665656	0.0547512	0.0226718	0.0278221	0.0618016	3.10824
150	-15790	-15772.6	-17.4735	0.0809012	0.11203	0.10357	0.0990154	0.092079	0.0893806	0.122072	0.16952	0.101342	0.123035	0.0644369	0.0948181	0.102807	0.084986	0.0939747	0.145047	0.0461129	0.0824404	0.0894818	0.133185	0.139978	0.106689	0.128083	0.0322468	0.00792569	0.0138232	0.0368702	0.0229589	0.0223061	0.0164412	0.00746181	0.00862964	0.0538328	0.0514494	0.0570767	0.0332634	0.0795078	0.0479416	0.0752879	0.0735577	0.0245322	0.0355346	0.0599722	3.1656
160	-15768.3	-15752.5	-15.8558	0.0729162	0.124928	0.0906814	0.0936922	0.0671049	0.07148	0.127441	0.156787	0.11983	0.11335	0.0668141	0.0665067	0.100952	0.0885539	0.0948557	0.110869	0.049529	0.0737048	0.101911	0.149344	0.131071	0.101757	0.130493	0.0152299	0.0373693	0.0174732	0.0283626	0.0135655	0.0264888	0.0277903	0.0140104	0.0203764	0.0379697	0.0300073	0.0372728	0.033501	0.0479688	0.0519276	0.0679781	0.0817414	0.0374008	0.0331017	0.0397264	3.00384
170	-15724.4	-15708.5	-15.9192	0.0742789	0.103894	0.071451	0.0931749	0.068617	0.0746353	0.0978103	0.153773	0.103172	0.113398	0.0744259	0.0877171	0.0947557	0.0864807	0.102729	0.129438	0.0651241	0.089605	0.0974975	0.121551	0.128017	0.0832804	0.136817	0.0409164	0.0256421	0.0209901	0.0295863	0.0474315	0.0275572	0.018954	0.0186938	0.0305305	0.0390451	0.0280763	0.0475502	0.0190805	0.0432483	0.0406527	0.079369	0.0695004	0.028963	0.0334066	0.0693385	3.01018
180	-15732	-15716.7	-15.2973	0.080832	0.116151	0.0892136	0.101623	0.0597225	0.0746353	0.0996653	0.153671	0.112099	0.105409	0.0782839	0.0746873	0.0999129	0.0586602	0.0945994	0.114455	0.0532195	0.0717288	0.114004	0.129014	0.120975	0.0876436	0.142174	0.0434914	0.0183211	0.0268613	0.0323222	0.0377357	0.0115022	0.00941279	0.042475	0.0154108	0.045637	0.0382686	0.0359038	0.0259258	0.0612162	0.0382115	0.0797548	0.0492112	0.0208118	0.0279398	0.0551929	2.94799
190	-15741.8	-15725.8	-15.9162	0.0691248	0.11481	0.107505	0.105303	0.0760203	0.0944031	0.102494	0.168903	0.107963	0.101449	0.0538907	0.0940026	0.105502	0.089978	0.0848159	0.108549	0.0595372	0.0739666	0.0680689	0.127918	0.113349	0.0955816	0.142174	0.0468616	0.0138524	0.0298138	0.0442225	0.0636949	0.0230724	0.00879549	0.0424407	0.023873	0.0363467	0.0172267	0.0435238	0.0252278	0.0391614	0.0446655	0.0821978	0.0726407	0.0148018	0.0169504	0.0551929	3.00987
