Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20321.7	-20299.1	-22.5896	75.4768	0.21968	0.189828	0.0399895	0.134658	0.056982	0.109553	0.157288	0.0109342	0.109218	0.160863	0.0549004	0.076751	0.0355782	0.229094	0.025248	0.0767728	0.0700208	0.12593	0.244978	0.0317469	0.00241299	0.129094	0.00878742	0.16409	0.00342387	0.117827	0.0131476	0.0151817	0.252149	0.0237901	0.00209972	0.0401307	0.075707	0.100949	0.0396092	0.031926	0.0733343	0.0153671	0.0250265	0.0498287	0.0251305	0.0631834	0.225977	0.156248	0.044946	0.0233555	0.38846	0.304161	0.0828294	0.857717	0.95894	1.03349	1.14985	0.0790631	0.128188	0.200553	0.592197	3.65818
10	-16215.8	-16197.3	-18.4886	6.91163	0.210721	0.112622	0.117988	0.134658	0.0925353	0.182393	0.142722	0.0328644	0.099478	0.146612	0.162768	0.172623	0.150914	0.107571	0.025248	0.177765	0.185147	0.206809	0.110495	0.0758641	0.0209829	0.155846	0.0302866	0.181016	0.0147965	0.0181939	0.0300598	0.0158204	0.107735	0.00404807	0.00735694	0.0223861	0.0606432	0.0764546	0.0486078	0.0246309	0.0155862	0.00968	0.0149065	0.0467086	0.00904287	0.0167417	0.0115773	0.185949	0.259835	0.0464087	0.254379	0.234333	0.0190952	0.566199	0.838953	1.07916	1.51569	0.164231	0.259437	0.145803	0.430529	3.5909
20	-14501	-14478.5	-22.4906	0.433994	0.222458	0.138969	0.124863	0.132092	0.138827	0.197834	0.142722	0.152765	0.0962694	0.200778	0.201901	0.148554	0.190315	0.0682862	0.07247	0.205727	0.219343	0.222995	0.0859356	0.125378	0.0790206	0.155846	0.107475	0.155364	0.00989966	0.0119546	0.023786	0.00362624	0.103554	0.00588448	0.00388712	0.044753	0.00817722	0.0839195	0.0294916	0.0175962	0.0172979	0.018076	0.00892213	0.0284942	0.00754543	0.00591803	0.00452317	0.235708	0.331505	0.0592095	0.0570682	0.300585	0.015924	0.0219084	0.206662	0.765593	3.00584	0.211727	0.249675	0.140316	0.398282	4.02349
30	-14340.6	-14318.2	-22.3604	0.35102	0.226998	0.141013	0.178719	0.120992	0.0873194	0.231517	0.180322	0.147307	0.0684264	0.191884	0.174917	0.169008	0.21388	0.0740152	0.105353	0.208417	0.204	0.240216	0.0971782	0.14852	0.0814933	0.0998664	0.148527	0.0980401	0.00915826	0.0310663	0.011093	0.0029555	0.0953849	0.00409763	0.0113526	0.0274298	0.00508571	0.0741961	0.0377082	0.0147609	0.0112761	0.0100129	0.00836863	0.00882849	0.00560843	0.0011865	0.0033875	0.220058	0.340975	0.0552784	0.0199062	0.347858	0.0159237	0.0103281	0.144348	0.672335	3.17299	0.198067	0.298084	0.131263	0.372586	4.01089
40	-14201.8	-14171.7	-30.1095	0.341248	0.328002	0.173417	0.207993	0.184436	0.111365	0.251001	0.151803	0.188299	0.106304	0.225191	0.183326	0.207301	0.211207	0.121088	0.0561781	0.192896	0.226137	0.259557	0.128604	0.192498	0.132847	0.141403	0.118966	0.155835	0.0530145	0.0356398	0.0137315	0.0112579	0.197889	0.00185825	0.0182398	0.0184819	0.00713262	0.064022	0.0606093	0.0164901	0.00523333	0.00372367	0.00282354	0.0103483	0.00555289	0.00110931	0.00304021	0.16275	0.371743	0.0324972	0.0217024	0.379247	0.0320604	0.00922902	0.136736	0.658996	3.19504	0.28777	0.322464	0.087877	0.301889	4.78585
50	-14118.6	-14085.4	-33.1825	0.328929	0.299899	0.163971	0.266654	0.205279	0.0838997	0.296674	0.174911	0.204819	0.119123	0.279835	0.193948	0.181399	0.235279	0.0781263	0.131798	0.178805	0.152647	0.318866	0.135742	0.166813	0.154314	0.120297	0.13288	0.119377	0.0955838	0.0148273	0.0122006	0.00570544	0.262822	0.00262787	0.0462939	0.0294408	0.0154421	0.0565871	0.0959417	0.0180447	0.00608243	0.0013954	0.00525552	0.0150499	0.0110969	0.000761748	0.00269749	0.112877	0.438626	0.0294243	0.0196502	0.345344	0.0540781	0.00793286	0.127106	0.641334	3.22363	0.258884	0.390476	0.0790559	0.271585	5.09321
60	-14022.1	-13987.9	-34.1945	0.300476	0.299899	0.113101	0.30169	0.174061	0.0804269	0.329308	0.148805	0.22075	0.135542	0.390363	0.17332	0.222175	0.197944	0.110402	0.130523	0.18319	0.184932	0.229304	0.132751	0.18314	0.159844	0.122701	0.131243	0.155126	0.122304	0.0405604	0.00189433	0.0104359	0.233813	0.000977265	0.0335766	0.0327469	0.0238709	0.0199064	0.0848738	0.0198923	0.00495726	0.00464099	0.0136783	0.0124598	0.0176366	0.00122882	0.004558	0.0783178	0.390541	0.0872826	0.0403886	0.394356	0.00911378	0.00533397	0.104865	0.596601	3.2932	0.258604	0.390053	0.0800524	0.271291	5.19455
70	-13896.6	-13866.3	-30.2761	0.317328	0.289316	0.0844542	0.281021	0.160635	0.0587337	0.312375	0.143084	0.138902	0.156222	0.395428	0.142147	0.167449	0.161875	0.0983364	0.117217	0.158896	0.218153	0.229304	0.148873	0.110799	0.127843	0.0893805	0.131243	0.152192	0.060474	0.0632834	0.00207488	0.00458711	0.270089	0.00275227	0.0321976	0.0592571	0.0295488	0.0161955	0.0482441	0.0357286	0.00969886	0.0117894	0.0319253	0.00623395	0.0399584	0.00172545	0.00299207	0.0788641	0.393265	0.0835608	0.0208874	0.397107	0.0263155	0.00680584	0.118025	0.623788	3.25138	0.305247	0.365195	0.0750885	0.254469	4.80263
80	-13858.3	-13828.4	-29.889	0.295537	0.172353	0.0873156	0.295123	0.131313	0.0984596	0.331231	0.145417	0.173829	0.142011	0.377253	0.128867	0.184927	0.162149	0.109593	0.105878	0.165249	0.162875	0.108583	0.130749	0.108211	0.144422	0.093843	0.118113	0.196098	0.0429342	0.189267	0.00150673	0.00416466	0.237346	0.00490378	0.0127908	0.053141	0.0310814	0.0140335	0.0299924	0.108311	0.00890343	0.0166903	0.0618492	0.0120799	0.0461166	0.00358432	0.0114681	0.0793873	0.395874	0.0841151	0.0227491	0.399741	0.0181335	0.00494029	0.101028	0.588231	3.3058	0.303933	0.363623	0.0790716	0.253373	4.76403
90	-13838.2	-13805.4	-32.8252	0.294907	0.173945	0.0818308	0.457063	0.179984	0.0689035	0.445251	0.158676	0.173185	0.113657	0.269435	0.179128	0.146483	0.150606	0.102979	0.108877	0.188153	0.170851	0.124516	0.11337	0.108211	0.143668	0.093843	0.120499	0.146469	0.0572502	0.177837	0.00569848	0.00443191	0.235116	0.00267334	0.0094969	0.063561	0.0121218	0.0415612	0.0512055	0.157285	0.0287131	0.0179884	0.115293	0.00837301	0.0374366	0.00845808	0.00357402	0.0696366	0.367027	0.0737837	0.0234345	0.445945	0.020173	0.00489125	0.100539	0.587149	3.30742	0.301724	0.36098	0.0857642	0.251532	5.05766
