Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-24.9144	0	-24.9144	69.308	0.255034	0.111916	0.0828339	0.0892171	0.076683	0.0156237	0.0860402	0.317727	0.0131764	0.0151515	0.0270249	0.100338	0.017535	0.0405539	0.0132134	0.0128156	0.0261537	0.0301013	0.101035	0.143198	0.138777	0.0210913	0.0863796	0.0395547	0.0253301	0.0166342	0.471806	0.030308	0.0494539	0.177049	0.00630706	0.0864791	0.223382	0.17928	0.0117049	0.00488865	0.149773	0.0988553	0.0863745	0.0745633	0.118319	0.134131	0.11569	0.438121	0.0325106	0.137415	0.313777	0.0671425	0.0110342	0.851715	0.956989	1.03477	1.15652	0.331749	0.150535	0.00926464	0.508452	3.9215
110	-35.5854	0	-35.5854	49.5994	0.350317	0.108624	0.0936283	0.227193	0.0618837	0.0545395	0.0942	0.337746	0.0206533	0.0117546	0.0555143	0.0546239	0.0194971	0.0138048	0.00690753	0.108077	0.0255434	0.0338769	0.17861	0.371537	0.215633	0.0208068	0.0417261	0.0939406	0.0761902	0.0282984	0.247515	0.0719868	0.0127458	0.272486	0.0109103	0.167396	0.305452	0.394304	0.0457061	0.00312805	0.0980414	0.0890628	0.0382608	0.0490919	0.370157	0.0384131	0.167363	0.535336	0.00211865	0.30225	0.121071	0.017825	0.0213994	0.825727	0.948322	1.04017	1.18578	0.210504	0.223251	0.0210207	0.545225	5.08715
120	-30.8548	0	-30.8548	35.9344	0.11932	0.0751017	0.140017	0.0975544	0.160772	0.0968924	0.0693971	0.387816	0.0107281	0.0192462	0.15307	0.132149	0.0153979	0.023537	0.0291119	0.103792	0.0831337	0.121949	0.0886344	0.129612	0.204824	0.006287	0.0692216	0.0717493	0.0488281	0.0656634	0.0838372	0.138262	0.00655933	0.191327	0.0332941	0.144024	0.237294	0.331224	0.083029	0.0080017	0.130509	0.210068	0.0930485	0.0423576	0.266912	0.0970726	0.061788	0.281778	0.000430757	0.0984573	0.597397	0.0154885	0.00644749	0.796638	0.938186	1.04594	1.21924	0.333995	0.170047	0.00931375	0.486644	4.68241
130	-27.0116	0	-27.0116	24.1039	0.172483	0.0563225	0.10241	0.120302	0.124763	0.0258173	0.0745239	0.100499	0.00504396	0.00592485	0.094964	0.110064	0.0333507	0.0124113	0.0682396	0.0580654	0.10297	0.120482	0.116177	0.371267	0.125848	0.00285362	0.0636413	0.312153	0.0386791	0.0725148	0.0720259	0.138802	0.0029345	0.101411	0.0263068	0.102667	0.524731	0.30024	0.0289989	0.0109746	0.141679	0.0579016	0.0417249	0.0192316	0.227988	0.0428155	0.0250475	0.22345	0.00036715	0.598523	0.159833	0.0112085	0.00661815	0.754273	0.922565	1.05379	1.26938	0.475746	0.19947	0.00814442	0.316639	4.35725
140	-27.1122	0	-27.1122	40.5802	0.211497	0.19122	0.129116	0.214485	0.0957877	0.02303	0.0362018	0.0907222	0.00400177	0.00280772	0.0257188	0.153806	0.095452	0.0212712	0.0830601	0.104046	0.024669	0.0787898	0.0710769	0.186949	0.0564452	0.000782874	0.044034	0.31755	0.0218878	0.0533678	0.043128	0.187467	0.00636913	0.089682	0.0610718	0.0440857	0.264064	0.397035	0.0408893	0.010674	0.259924	0.115858	0.177386	0.0416085	0.132868	0.0222158	0.0528244	0.136511	0.102001	0.105368	0.580172	0.00599371	0.0699538	0.808114	0.94224	1.0437	1.20595	0.614547	0.0948314	0.0270097	0.263612	4.28493
150	-21.5306	0	-21.5306	30.2921	0.184328	0.0975075	0.125985	0.0312634	0.0579713	0.11116	0.101346	0.0853818	0.0123136	0.0014773	0.00690492	0.0987406	0.122809	0.015651	0.118963	0.0958225	0.068015	0.023219	0.0351006	0.276488	0.20737	0.00045704	0.0861544	0.266951	0.0249615	0.0390037	0.0229755	0.0831657	0.00996959	0.170766	0.0277986	0.0311478	0.140346	0.214255	0.0647246	0.0178575	0.0707252	0.0486539	0.0846607	0.163786	0.118338	0.0703516	0.143335	0.33843	0.15661	0.0610385	0.411212	0.00644611	0.0262635	0.779425	0.931965	1.04921	1.2394	0.00710527	0.94006	0.00129322	0.051542	3.7782
160	-36.1576	0	-36.1576	7.99756	0.230514	0.0651367	0.40369	0.0603162	0.169247	0.0964818	0.242091	0.0484406	0.00521067	0.00311538	0.00506495	0.0502691	0.258607	0.013662	0.160824	0.0812302	0.0310743	0.0482122	0.0900965	0.180232	0.218178	0.000746748	0.121465	0.477464	0.0328006	0.173154	0.0383115	0.0389793	0.0238079	0.314436	0.0185784	0.109601	0.0933261	0.271268	0.161481	0.0232677	0.138636	0.131722	0.303387	0.148399	0.0914332	0.0701632	0.108261	0.275915	0.264837	0.0101377	0.0241887	0.0018507	0.42307	0.593001	0.852484	1.07665	1.47787	0.30429	0.499363	0.00983624	0.18651	5.35238
170	-33.1688	0	-33.1688	6.98441	0.267238	0.264098	0.0752719	0.0599193	0.145939	0.0526937	0.125807	0.0621447	0.0154366	0.00358653	0.00704667	0.0506969	0.239456	0.0168177	0.0692751	0.0295998	0.0438279	0.0581892	0.258529	0.25313	0.0925919	0.00183623	0.100041	0.210254	0.0231378	0.152791	0.0395501	0.0914455	0.0603312	0.102232	0.0321938	0.124513	0.0884411	0.129166	0.0666106	0.00206066	0.0622546	0.709994	0.379755	0.0923806	0.219551	0.0584758	0.120255	0.356164	0.0844442	0.0377856	0.00672807	0.000183431	0.514695	0.568167	0.839967	1.07899	1.51288	0.371881	0.11011	0.0741918	0.443817	5.05857
180	-33.2567	0	-33.2567	8.57095	0.194214	0.305741	0.0510356	0.0614311	0.199447	0.038777	0.181873	0.0558674	0.00466714	0.00716869	0.00818501	0.0278036	0.101554	0.00727533	0.214729	0.0563788	0.027197	0.0893367	0.126616	0.17385	0.205253	0.00180313	0.0772547	0.193132	0.0125855	0.0643436	0.119137	0.0423312	0.0274164	0.0549762	0.0177104	0.351295	0.146981	0.0359366	0.0474944	0.00187867	0.217896	0.606472	0.345484	0.139472	0.101889	0.0704678	0.245062	0.156827	0.0885669	0.637007	0.00504307	5.90613e-05	0.112497	0.605254	0.858472	1.07536	1.46091	0.37636	0.058083	0.136705	0.428851	5.05942
190	-33.6833	0	-33.6833	13.0524	0.116149	0.424204	0.198846	0.163179	0.098781	0.0492793	0.0425623	0.0769505	0.00976743	0.00403894	0.0435579	0.16344	0.0975883	0.0174992	0.198721	0.0119105	0.0261335	0.0413427	0.0885963	0.200819	0.366772	0.00291452	0.126922	0.0700266	0.00876411	0.101415	0.27826	0.0517385	0.0143221	0.0361404	0.0302764	0.186493	0.226797	0.0212523	0.0496061	0.00461403	0.209059	0.325258	0.455207	0.144201	0.150054	0.0379099	0.108302	0.51278	0.313907	0.0672272	0.000130284	4.91466e-05	0.105907	0.673338	0.889653	1.06678	1.37023	0.240583	0.0616837	0.685219	0.0125134	5.07967
