Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15996.1	-15979.1	-16.9806	0.0805011	0.108643	0.0966831	0.0951847	0.067935	0.0895589	0.135041	0.180397	0.10319	0.123079	0.0868112	0.0725639	0.109864	0.0790499	0.104443	0.133292	0.0796683	0.0798847	0.104436	0.125068	0.118431	0.0840594	0.157039	0.0469369	0.0641396	0.0299439	0.0157987	0.0198341	0.105015	0.0232858	0.00235803	0.0301657	0.0502654	0.00572451	0.0193779	0.0335532	0.00352658	0.0899489	0.00808604	0.0723948	0.0441834	0.0257191	0.0112289	3.11631
110	-15934.8	-15918.6	-16.2216	0.0933298	0.0969474	0.0966831	0.0907625	0.0658236	0.0758393	0.112949	0.171974	0.11294	0.112265	0.0841908	0.0729818	0.0826645	0.0636407	0.0963865	0.128927	0.0563585	0.101539	0.0936815	0.133408	0.113256	0.0939858	0.162947	0.0317632	0.0811562	0.0348323	0.0229514	0.0424272	0.0974714	0.016436	0.0155365	0.0366522	0.0415601	0.0155265	0.0316856	0.0233985	0.00457824	0.0688106	0.00825818	0.0723948	0.0544003	0.0203162	0.00677616	3.04041
120	-15861.2	-15845.7	-15.5315	0.0790379	0.0969474	0.0969604	0.106442	0.0696665	0.0772359	0.112386	0.162509	0.128346	0.122371	0.074897	0.0649831	0.111245	0.0733997	0.10974	0.118025	0.052249	0.0805484	0.115067	0.125992	0.130364	0.0873538	0.153331	0.0326491	0.0527515	0.0219969	0.0251662	0.0379311	0.0716698	0.0187224	0.0406378	0.0166321	0.0354694	0.0176621	0.0389588	0.0204877	0.0083535	0.0405665	0.0140032	0.0416418	0.0430803	0.0353052	0.00861951	2.9714
130	-15761.9	-15746.1	-15.8179	0.0596042	0.0996433	0.104148	0.108579	0.0689426	0.0837402	0.118696	0.155023	0.104452	0.138136	0.088403	0.079823	0.0955646	0.0727363	0.0923742	0.122283	0.0490839	0.0908196	0.102041	0.130741	0.10265	0.0988839	0.126895	0.0505381	0.0446501	0.0324204	0.0240844	0.030625	0.0735593	0.0136358	0.0591734	0.0587361	0.0393639	0.0123921	0.0289064	0.0281417	0.0108655	0.0208964	0.028236	0.0434018	0.068161	0.0232059	0.015784	3.00004
140	-15766.1	-15750	-16.1395	0.0828345	0.103158	0.10764	0.117445	0.0674109	0.069839	0.128765	0.16281	0.0965324	0.101262	0.0724401	0.0889215	0.0863007	0.0747294	0.0971657	0.116139	0.0968645	0.0792941	0.0993824	0.133513	0.119093	0.0830542	0.140127	0.0542795	0.0440052	0.0432536	0.0153062	0.0163569	0.081041	0.0126682	0.0863649	0.0403305	0.0235146	0.00889617	0.017799	0.0249657	0.0385727	0.0405859	0.029491	0.034765	0.0468517	0.0316226	0.0168133	3.0322
150	-15758	-15742.6	-15.4195	0.0792488	0.117535	0.133532	0.106025	0.0611289	0.0640097	0.102461	0.137703	0.0984717	0.109682	0.0718727	0.0700948	0.113076	0.0718416	0.0892142	0.116918	0.0577923	0.0849259	0.0953624	0.136004	0.133294	0.0798729	0.140127	0.0367055	0.0471865	0.0350969	0.026538	0.0253556	0.0634444	0.0159147	0.0772128	0.0452057	0.0395355	0.0105055	0.0136461	0.0257907	0.026803	0.0204674	0.02615	0.0546074	0.0548649	0.0200382	0.0249374	2.9602
160	-15772.9	-15755.7	-17.1294	0.0712246	0.119134	0.11422	0.0921819	0.0701955	0.0918912	0.125634	0.137703	0.124271	0.117713	0.0906906	0.0593344	0.106374	0.0755421	0.0993145	0.143789	0.0687962	0.100358	0.0961852	0.145118	0.124244	0.0892372	0.140222	0.0347666	0.0491234	0.0158811	0.04824	0.0415022	0.0593297	0.0284035	0.0673029	0.0472591	0.0247701	0.0166365	0.0366314	0.0307448	0.0166952	0.0199589	0.024782	0.0411172	0.0690725	0.0287453	0.0268641	3.1312
170	-15740.6	-15724.6	-15.9991	0.109702	0.0972561	0.0934412	0.102771	0.0762884	0.0771241	0.116811	0.145083	0.0884358	0.106835	0.073519	0.0916448	0.102308	0.0629239	0.0838672	0.125206	0.0562789	0.0915063	0.0813992	0.143661	0.113504	0.0905185	0.136431	0.0519529	0.047238	0.0196403	0.0254412	0.0339508	0.0425904	0.0283833	0.0865049	0.0506333	0.0300923	0.0215731	0.0258177	0.0440569	0.0324282	0.0227035	0.0262972	0.054216	0.0517028	0.0268761	0.0295529	3.01817
180	-15737.4	-15721.5	-15.9217	0.0940676	0.0995914	0.10272	0.112377	0.0891135	0.0936274	0.142787	0.145083	0.101327	0.0922538	0.0744317	0.0782369	0.0865405	0.0662015	0.0780972	0.101174	0.0807937	0.0775849	0.083531	0.115173	0.108973	0.0954758	0.125313	0.0321662	0.0417925	0.023365	0.0302057	0.0479901	0.0526359	0.0312937	0.0707013	0.0604065	0.0285741	0.0395123	0.023689	0.0391793	0.0322617	0.0413016	0.0286781	0.0381441	0.0391192	0.0389023	0.0260323	3.01043
190	-15728.3	-15712.2	-16.0686	0.0932851	0.125162	0.0773341	0.10768	0.0684594	0.0809012	0.116463	0.145	0.100727	0.116751	0.0849472	0.0780363	0.0929058	0.0719474	0.104263	0.121486	0.0759707	0.0775849	0.0961728	0.145398	0.108879	0.0949379	0.123055	0.0417506	0.0504252	0.0298146	0.0273769	0.0316805	0.0423624	0.0214064	0.0677883	0.0637273	0.0390453	0.0390676	0.013098	0.037136	0.0182096	0.0236797	0.0162092	0.0371065	0.0544538	0.0371489	0.0262788	3.02511
