Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-13530.9	-13469.4	-61.5476	0.295336	0.300115	0.630787	0.146052	0.22745	0.237727	0.261	0.224461	0.370834	0.207599	0.213105	0.395824	0.0886273	0.406999	0.214749	0.305635	0.242571	0.145059	0.229826	0.261626	0.614814	0.250605	0.139022	0.137497	0.0127093	0.076937	0.047419	0.0574479	0.0535247	0.0303215	0.0700271	0.0762988	0.0435741	0.0209968	0.274998	0.144694	0.0560926	0.117092	0.0256875	0.161454	0.251455	0.00894405	0.039251	0.0419807	0.0389716	0.217865	0.0723914	0.0103244	0.628792	0.0316558	0.00492459	0.100872	0.587886	3.30632	0.345054	0.339781	0.0960171	0.219148	7.86289
110	-13467.2	-13413.7	-53.4963	0.301335	0.277042	0.429682	0.164286	0.201839	0.183198	0.216334	0.222239	0.33207	0.24912	0.224982	0.300298	0.151402	0.305442	0.15351	0.386372	0.187638	0.124941	0.210478	0.131757	0.481322	0.262378	0.119849	0.190462	0.0110396	0.0896987	0.0245358	0.0525418	0.178146	0.0706902	0.126233	0.0338255	0.0277082	0.0326547	0.313442	0.122949	0.066049	0.0665805	0.0120654	0.139574	0.123305	0.00434402	0.0205773	0.0351293	0.0394787	0.216896	0.0725992	0.0162758	0.625996	0.0287538	0.00540421	0.105534	0.598038	3.29102	0.345054	0.339781	0.0960171	0.219148	7.05773
120	-13421.8	-13364.6	-57.1978	0.301335	0.291747	0.428462	0.100889	0.223238	0.168965	0.265627	0.280268	0.317521	0.241149	0.282554	0.313809	0.134068	0.366438	0.206427	0.387975	0.269772	0.256917	0.27883	0.191036	0.323773	0.25557	0.0830468	0.173857	0.00901981	0.0897627	0.0166171	0.023257	0.274214	0.175316	0.09876	0.0453212	0.0264854	0.0204967	0.321154	0.0901475	0.0492039	0.0786537	0.0202989	0.118928	0.0323404	0.0032401	0.0639235	0.0322786	0.039017	0.212442	0.0717501	0.00707254	0.642343	0.0273755	0.00540421	0.105534	0.598038	3.29102	0.355801	0.350364	0.0990077	0.194827	7.43136
130	-13392.4	-13337.3	-55.0829	0.301335	0.328802	0.204374	0.149939	0.181128	0.112536	0.269295	0.220406	0.389438	0.263614	0.211237	0.349258	0.147752	0.353502	0.146641	0.404528	0.265535	0.328257	0.175167	0.219317	0.21704	0.261449	0.125581	0.152135	0.00820194	0.133303	0.0221757	0.0174091	0.331561	0.114904	0.0895248	0.0294354	0.0290901	0.0758971	0.305169	0.0741484	0.0728166	0.0751625	0.0426991	0.130755	0.0591612	0.0068971	0.081222	0.0424018	0.0395641	0.19308	0.0727564	0.0138727	0.651351	0.0293761	0.00540421	0.105534	0.598038	3.29102	0.360287	0.342173	0.100256	0.197283	7.21887
140	-13382.8	-13329.8	-53.038	0.310048	0.371069	0.168592	0.153362	0.205515	0.144488	0.254879	0.206298	0.332172	0.233493	0.298533	0.367036	0.128966	0.416358	0.165892	0.293757	0.321769	0.348043	0.223319	0.166548	0.20264	0.239342	0.0913768	0.153098	0.0418886	0.101956	0.0142596	0.0202805	0.293067	0.148223	0.0785129	0.0236278	0.018787	0.0593604	0.220802	0.033796	0.0612722	0.108632	0.0273867	0.140021	0.028904	0.00354654	0.0836302	0.0198366	0.0393077	0.191828	0.0653898	0.0170042	0.64713	0.0393406	0.00614573	0.112331	0.612298	3.26923	0.360287	0.342173	0.100256	0.197283	7.01434
150	-13354.3	-13304.6	-49.721	0.30551	0.293285	0.145935	0.122959	0.220451	0.133494	0.197627	0.231746	0.401746	0.214412	0.224856	0.367272	0.0767742	0.32602	0.16391	0.327406	0.254548	0.223301	0.171251	0.129878	0.144098	0.233501	0.103722	0.172611	0.0427192	0.114728	0.00867121	0.0169848	0.293067	0.126561	0.123226	0.0132581	0.0101536	0.0612111	0.33513	0.0508381	0.0850944	0.107484	0.0287374	0.121196	0.0511069	0.00211293	0.196119	0.0123162	0.0392248	0.191423	0.0652518	0.0169683	0.645764	0.0413674	0.00575294	0.108788	0.604942	3.28052	0.365446	0.332755	0.101691	0.200108	6.68152
160	-13342.1	-13291	-51.0264	0.301766	0.261949	0.196617	0.129885	0.232934	0.162956	0.223588	0.230836	0.438646	0.233061	0.253879	0.328436	0.0954672	0.317684	0.166523	0.36067	0.240442	0.243882	0.234888	0.159024	0.159082	0.209696	0.104331	0.142934	0.0400053	0.127375	0.00908172	0.0119368	0.287063	0.142434	0.144087	0.0206053	0.0188155	0.0505465	0.344577	0.0270106	0.0675402	0.0789379	0.0281107	0.0936674	0.0318801	0.0120855	0.128189	0.0210364	0.0404392	0.19735	0.067272	0.0174936	0.665757	0.0116878	0.00543963	0.105869	0.598756	3.28993	0.364005	0.335385	0.101291	0.199319	6.81239
170	-13325.5	-13276.2	-49.3752	0.295417	0.282772	0.174435	0.124437	0.224888	0.163408	0.203051	0.232945	0.438646	0.156127	0.31041	0.335427	0.0879448	0.299109	0.154987	0.322258	0.221678	0.227166	0.198333	0.201235	0.160056	0.238263	0.1228	0.139321	0.0267444	0.129302	0.00444943	0.00774338	0.20359	0.113453	0.123977	0.032383	0.022843	0.0417896	0.28222	0.104486	0.0540805	0.0727565	0.020056	0.136365	0.0144451	0.0451773	0.168649	0.0231	0.0281308	0.217325	0.0720444	0.0206306	0.637598	0.0242718	0.00493095	0.100935	0.588026	3.30611	0.364005	0.335385	0.101291	0.199319	6.64731
180	-13238.3	-13189.4	-48.978	0.295417	0.277683	0.128089	0.100229	0.190675	0.176734	0.216613	0.218016	0.435364	0.2236	0.21053	0.309165	0.106372	0.250076	0.187823	0.335733	0.256131	0.126874	0.198018	0.168599	0.17946	0.240761	0.0951013	0.161989	0.0289893	0.101345	0.0124514	0.00423308	0.241123	0.119377	0.155328	0.0268946	0.0277466	0.0679699	0.280181	0.0244853	0.0761691	0.0613183	0.0307503	0.167081	0.0398243	0.159643	0.123105	0.0660976	0.0289293	0.188341	0.0740895	0.0240109	0.655697	0.028933	0.00493095	0.100935	0.588026	3.30611	0.363282	0.334719	0.103075	0.198923	6.60775
190	-13198.1	-13148.6	-49.5518	0.291302	0.29609	0.162037	0.127521	0.208765	0.165262	0.251197	0.197596	0.370747	0.264829	0.21734	0.28933	0.138289	0.181527	0.141456	0.375747	0.237539	0.0811297	0.231426	0.172372	0.150153	0.201947	0.145543	0.225723	0.045034	0.0917558	0.0274828	0.014162	0.139248	0.123944	0.139627	0.027919	0.0337068	0.0394011	0.280181	0.0437184	0.0786672	0.118015	0.0297701	0.132786	0.11761	0.219712	0.07341	0.0554282	0.0290981	0.188816	0.0742766	0.02145	0.657353	0.029006	0.0046163	0.0977478	0.580902	3.31673	0.363282	0.334719	0.103075	0.198923	6.66515
