Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24.969	0	-24.969	12.0694	0.140681	0.13167	0.2135	0.0716408	0.0461217	0.00914005	0.016048	0.124886	0.0255487	0.189639	0.0904889	0.0311416	0.000964327	0.219901	0.0131123	0.0648727	0.048432	0.0867661	0.0421566	0.0193105	0.142894	0.112333	0.134101	0.20806	0.000277559	0.0947425	0.182599	0.212361	0.425028	0.128821	0.00801339	0.00884204	0.037873	0.234167	0.0242543	0.183987	0.0112755	0.013138	0.00830355	0.0801917	0.0172783	0.314005	0.0445891	0.35999	0.124473	0.0452475	0.153172	0.0546221	0.262495	0.661476	0.884464	1.06844	1.38562	0.103966	0.0357154	0.0558914	0.804427	4.21315
10	-21.7467	0	-21.7467	26.1343	0.165141	0.0911055	0.168447	0.119083	0.087561	0.00369707	0.0539418	0.134496	0.0197614	0.0617005	0.0234504	0.0180667	0.0019176	0.140278	0.0275957	0.0606295	0.0602693	0.03579	0.0686275	0.161501	0.0392488	0.0265698	0.215286	0.0998767	0.000395733	0.13242	0.0917879	0.120311	0.384634	0.317153	0.0309206	0.0190978	0.107997	0.125731	0.102506	0.142864	0.0407346	0.00653029	0.0202104	0.124432	0.0128168	0.122937	0.0330791	0.0486259	0.870589	0.00637167	0.00482148	0.00851021	0.0610819	0.763463	0.926043	1.05214	1.25835	0.654691	0.0875824	0.0305269	0.227199	3.8206
20	-25.2446	0	-25.2446	33.6889	0.136633	0.111959	0.453973	0.0359219	0.0952435	0.00525699	0.0987903	0.24145	0.0588685	0.0396038	0.0432199	0.0760971	0.0023485	0.0331289	0.0223745	0.0138364	0.130408	0.029328	0.0477967	0.204366	0.0204904	0.0150259	0.0385776	0.119274	0.000223433	0.0495889	0.0686384	0.392847	0.280183	0.41131	0.0717347	0.0283461	0.0849253	0.177071	0.072598	0.164058	0.0316553	0.0118799	0.0182921	0.0708359	0.0214173	0.0774955	0.0255546	0.544124	0.163901	0.00876239	0.0119758	0.0328786	0.238358	0.790289	0.935911	1.04716	1.22664	0.137042	0.428859	0.330514	0.103585	4.13263
30	-22.8315	0	-22.8315	66.4522	0.0953826	0.128189	0.116265	0.0119874	0.0995135	0.0140934	0.109921	0.169569	0.0673454	0.0362002	0.0507434	0.0926894	0.00140137	0.0319476	0.0728774	0.0713163	0.127546	0.0781987	0.0184116	0.0934528	0.0127854	0.0296638	0.213519	0.0432457	0.000142239	0.020318	0.0751358	0.193107	0.151047	0.179224	0.166092	0.109878	0.138198	0.225021	0.0421116	0.0372888	0.0382621	0.00338813	0.0529418	0.312597	0.0115749	0.0548211	0.130084	0.164881	0.0387359	0.0060903	0.00390292	0.00140007	0.78499	0.848663	0.95599	1.03542	1.15993	0.00138723	0.164011	0.251144	0.583457	3.7275
40	-34.3118	0	-34.3118	13.0902	0.153361	0.106373	0.0866391	0.124602	0.539623	0.019644	0.373417	0.175209	0.127701	0.00401866	0.0433786	0.177971	0.000559993	0.0100183	0.064702	0.0678807	0.244962	0.0678724	0.152438	0.13448	0.00593069	0.0769727	0.233494	0.0217575	8.17458e-05	0.0428971	0.0335343	0.197584	0.255163	0.211107	0.21417	0.23439	0.0376297	0.247514	0.0936907	0.0284739	0.134835	0.00326409	0.0317182	0.19118	0.00595551	0.0241255	0.14202	0.0253271	0.00955199	0.032728	0.01464	0.00127847	0.916474	0.67377	0.88984	1.06672	1.36967	2.56787e-05	0.00597329	0.962723	0.031278	5.14234
50	-25.4564	0	-25.4564	25.536	0.151279	0.192278	0.131155	0.21064	0.142159	0.0312224	0.0366534	0.152655	0.127542	0.00294047	0.0542293	0.344454	0.00063267	0.00926978	0.160864	0.0441327	0.134238	0.057765	0.150402	0.283146	0.0107894	0.0395995	0.0444061	0.0236885	0.000154103	0.128869	0.1558	0.1074	0.20728	0.109976	0.047483	0.110347	0.0429965	0.106665	0.0474389	0.0330748	0.197423	0.00878472	0.0351287	0.188335	0.0324333	0.0401368	0.0587025	0.424714	0.00421168	0.0596124	0.467531	0.00112176	0.0428094	0.760864	0.925065	1.05261	1.26146	2.35908e-05	0.0171991	0.658765	0.324012	4.19457
60	-37.956	0	-37.956	41.4813	0.157552	0.15356	0.116696	0.370812	0.367584	0.0294451	0.0708538	0.305663	0.245469	0.00498402	0.0116915	0.167922	0.000737435	0.0180649	0.209599	0.102368	0.290625	0.100071	0.150362	0.122333	0.0080335	0.0572716	0.0376576	0.12282	8.63603e-05	0.1424	0.161401	0.1288	0.386001	0.0453526	0.179086	0.228598	0.0491414	0.0787097	0.0633306	0.0562757	0.165367	0.0359664	0.0825377	0.197094	0.0429861	0.0558644	0.0436279	0.20875	0.0104172	0.114167	0.544616	0.0011481	0.120902	0.81012	0.942942	1.0433	1.20364	2.00792e-05	0.00381074	0.0749432	0.921226	5.3648
70	-30.9117	0	-30.9117	25.5322	0.252436	0.101719	0.0435915	0.274965	0.211461	0.0913936	0.0744016	0.357094	0.135118	0.00429312	0.00821949	0.114161	0.00181665	0.0114374	0.104106	0.0727591	0.0763025	0.114448	0.264796	0.177248	0.00448841	0.132434	0.0398198	0.0363741	0.00121701	0.1075	0.0720198	0.0898445	0.510104	0.0566882	0.269528	0.0712582	0.0375543	0.032863	0.183305	0.0980988	0.0645692	0.0134355	0.0880458	0.274598	0.0114197	0.0457789	0.00740392	0.0137293	0.028938	0.375894	0.55569	0.000460189	0.0252891	0.760848	0.925058	1.05261	1.26148	0.000121047	0.0035799	0.590573	0.405726	4.74012
80	-42.474	0	-42.474	11.4902	0.357736	0.193226	0.237835	0.190646	0.123241	0.117058	0.145817	0.340143	0.0428628	0.00584547	0.00464929	0.202452	0.00161915	0.00955735	0.0735948	0.198174	0.0696574	0.0151336	0.0778567	0.329031	0.00271864	0.39908	0.0297405	0.0272452	0.00378212	0.0978791	0.0676115	0.410223	0.545489	0.104065	0.262638	0.148016	0.0411677	0.125547	0.220014	0.334635	0.0238986	0.0245552	0.0791755	0.100211	0.0166972	0.161671	0.00436137	0.00407457	0.357477	0.0463961	0.446976	0.000163409	0.144912	0.653838	0.88107	1.06947	1.39562	3.25758e-05	0.00117691	0.90315	0.0956404	5.96656
90	-46.337	0	-46.337	24.8335	0.219051	0.734376	0.30248	0.185956	0.0739112	0.0982774	0.179318	0.162336	0.0213218	0.00403802	0.00367315	0.199047	0.00202246	0.0113665	0.119033	0.175435	0.0798461	0.241483	0.242992	0.41689	0.0155253	0.277706	0.018597	0.0437976	0.00135549	0.232365	0.133401	0.0311651	0.227482	0.159991	0.0890916	0.264927	0.0138364	0.213409	0.0909026	0.328539	0.260797	0.0288318	0.0112166	0.167459	0.0201128	0.177648	0.00512896	0.000668824	0.348357	0.0317505	0.461706	2.15775e-05	0.157497	0.757699	0.923868	1.05318	1.26526	4.82129e-05	0.000380101	0.701671	0.2979	6.28614
