Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-26347.6	-26324.2	-23.4305	7.85218	0.154657	0.00522125	0.0105072	0.0580944	0.0387183	0.124394	0.00307814	0.321074	0.0322866	0.125133	0.0960944	0.0735755	0.48164	0.00874077	0.0892179	0.10261	0.0267469	0.274075	0.012544	0.0239687	0.0588594	0.106895	0.245917	0.164631	0.064042	0.0046221	0.325257	0.234966	0.16289	0.00146142	0.0192179	0.0140112	0.0101236	0.0308224	0.0916231	0.00251353	0.099306	0.0481411	0.0461614	0.163396	0.0393016	0.196964	0.0055371	0.287187	0.197369	0.199482	0.232419	0.0662033	0.0173384	0.589704	0.850852	1.07698	1.48246	0.00894098	0.185355	0.724108	0.0815955	4.19904
10	-15290.4	-15268.1	-22.2607	0.473319	0.192865	0.0279902	0.0191587	0.128438	0.123531	0.125422	0.00941148	0.197122	0.100586	0.112445	0.196381	0.126382	0.234569	0.0214822	0.132413	0.281369	0.03957	0.128047	0.0489964	0.25633	0.108979	0.13471	0.183359	0.0447333	0.0320275	0.0044306	0.111563	0.136693	0.123109	0.00319111	0.00963356	0.0552664	0.0164233	0.0096414	0.0117542	0.00822353	0.0884081	0.0808662	0.0238101	0.161726	0.0151139	0.068886	0.00336026	0.194752	0.250705	0.135276	0.128921	0.280799	0.00954727	0.0285555	0.234141	0.79984	2.93746	0.201835	0.320643	0.147781	0.329742	3.93842
20	-14593.5	-14569.3	-24.2007	0.282615	0.154794	0.0484461	0.0808087	0.108384	0.117996	0.12016	0.0446643	0.205388	0.153164	0.127637	0.298162	0.122611	0.258366	0.129452	0.152374	0.249427	0.0475243	0.148028	0.117719	0.254256	0.138156	0.160678	0.159199	0.0154472	0.0067897	0.00433921	0.0488088	0.0834368	0.0580818	0.00532274	0.00673218	0.0344748	0.00597082	0.00617047	0.00792074	0.0189635	0.0915899	0.156363	0.00674254	0.138949	0.0146246	0.00731947	0.00777777	0.121731	0.365794	0.0661489	0.0936971	0.34728	0.00534848	0.00399129	0.0910587	0.565418	3.33953	0.318537	0.31764	0.0945348	0.269288	4.12322
30	-14411.4	-14377.5	-33.8761	0.295121	0.202829	0.299043	0.0886356	0.151364	0.178845	0.13442	0.0872912	0.211992	0.200405	0.1181	0.387495	0.135148	0.292796	0.125546	0.179856	0.276255	0.0576302	0.181981	0.213743	0.410493	0.147842	0.174113	0.222794	0.0111369	0.00395237	0.00926537	0.047536	0.0994563	0.0376133	0.00568801	0.00739899	0.0566924	0.00594919	0.00748328	0.00189434	0.0245427	0.0582022	0.103428	0.00473031	0.0737151	0.0313614	0.0075035	0.0185638	0.120161	0.398294	0.075522	0.0220654	0.378135	0.00582368	0.00490791	0.100705	0.587518	3.30687	0.302867	0.351209	0.0898842	0.256041	5.09473
40	-14364.9	-14325.1	-39.7629	0.323983	0.265696	0.342348	0.0618991	0.152782	0.215259	0.170747	0.187812	0.244647	0.183333	0.129799	0.413712	0.130341	0.450406	0.146103	0.20213	0.332668	0.0704435	0.168519	0.202211	0.410493	0.149014	0.10895	0.254863	0.00454415	0.00721161	0.0042189	0.132421	0.0583532	0.0132491	0.0070678	0.00636945	0.0537807	0.0034817	0.00707289	0.00169878	0.031753	0.0258343	0.153845	0.00708572	0.0571235	0.0577368	0.0054845	0.0513498	0.0958906	0.367588	0.0912035	0.0342141	0.39275	0.0183536	0.00744111	0.123234	0.633965	3.23536	0.295236	0.355053	0.0908681	0.258843	5.68386
50	-14196.7	-14162.9	-33.7352	0.341719	0.241009	0.284351	0.0663266	0.154783	0.26306	0.175931	0.199813	0.237033	0.15257	0.0951332	0.351064	0.114574	0.294353	0.135652	0.202254	0.318841	0.0393035	0.181342	0.167505	0.396296	0.162956	0.100407	0.17584	0.00817304	0.00119298	0.011649	0.0787781	0.0108467	0.00427744	0.00220888	0.00801363	0.0904005	0.0103706	0.0080854	0.00257769	0.0328329	0.012535	0.147542	0.0157547	0.0226392	0.0526578	0.0261366	0.0257913	0.0878241	0.279829	0.0835312	0.0269737	0.508993	0.0128493	0.00928067	0.137105	0.659653	3.19396	0.302197	0.363424	0.0930105	0.241368	5.08286
60	-14124.1	-14086.5	-37.6001	0.293934	0.272663	0.268195	0.0999528	0.144758	0.259879	0.165271	0.153277	0.277123	0.172583	0.161741	0.333027	0.0841091	0.390548	0.129482	0.218741	0.268257	0.071242	0.138722	0.224309	0.367182	0.19925	0.0717776	0.33415	0.00583022	0.00222503	0.0125836	0.0755944	0.0176763	0.00920831	0.00410561	0.00807044	0.048556	0.0424024	0.0079923	0.00161588	0.0366723	0.0353591	0.148497	0.0213159	0.0340038	0.0772369	0.0384684	0.0380704	0.0849065	0.294036	0.0807562	0.0260776	0.492084	0.0221396	0.00481619	0.0997854	0.585474	3.30992	0.294216	0.380236	0.0905542	0.234994	5.47173
70	-14067.7	-14024.7	-43.0408	0.300161	0.210903	0.381672	0.0860221	0.206217	0.260183	0.229737	0.148274	0.382562	0.17795	0.115748	0.381982	0.111556	0.374768	0.155755	0.240821	0.365031	0.0648143	0.210113	0.22003	0.446272	0.15258	0.0798465	0.29139	0.0121738	0.00171766	0.0172125	0.0614596	0.0493905	0.0182802	0.0136446	0.00589311	0.00877444	0.0393516	0.00931949	0.00497637	0.0383571	0.0198503	0.13495	0.0294866	0.0147404	0.0697251	0.134348	0.0384631	0.0720175	0.304388	0.0835994	0.0108588	0.509408	0.0197281	0.00530834	0.10462	0.596072	3.294	0.298629	0.381208	0.0919125	0.22825	6.01634
80	-14043.2	-13995	-48.1635	0.297313	0.251398	0.433604	0.0556282	0.150497	0.314986	0.227753	0.222068	0.413052	0.195783	0.162732	0.375494	0.11553	0.373533	0.156457	0.352818	0.345199	0.0918152	0.194759	0.21597	0.547338	0.200761	0.0603377	0.288484	0.0154412	0.000829218	0.0265764	0.068522	0.0181658	0.0595688	0.0129433	0.00338626	0.0159632	0.0287256	0.00672761	0.00819925	0.0217694	0.0025253	0.146207	0.0611611	0.00740992	0.0872982	0.133665	0.0575374	0.0709265	0.299777	0.0823329	0.0213864	0.501691	0.0238862	0.00507991	0.102407	0.591263	3.30125	0.298629	0.381208	0.0919125	0.22825	6.52862
90	-14001.7	-13946.9	-54.8182	0.30321	0.285338	0.362908	0.089772	0.258606	0.335967	0.227231	0.179014	0.370951	0.214275	0.164428	0.385898	0.185465	0.426108	0.147871	0.38151	0.429624	0.0902045	0.292531	0.213248	0.599345	0.197072	0.0822565	0.316823	0.0132797	0.00103266	0.0331376	0.0486495	0.0255541	0.187903	0.00740068	0.0073951	0.0106382	0.00828513	0.00673	0.00892493	0.0446471	0.000513804	0.175088	0.0550465	0.0112464	0.0959828	0.178988	0.0374324	0.0690976	0.292047	0.0802098	0.0250162	0.514854	0.0187755	0.00555928	0.106994	0.601154	3.28629	0.297657	0.383222	0.0916134	0.227507	7.19432
